storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
89,감성돈                                    (제주협재점),"https://mp-seoul-image-production-s3.mangoplate.com/450675/1176502_1648639606007_149001?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.2,(제주협재점),제주 한림/애월 ,"3,843",6
90,도렐                                    (본점),"https://mp-seoul-image-production-s3.mangoplate.com/725024_1555502267426119.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 성산/우도 ,"122,331",155
91,88돼지,"https://mp-seoul-image-production-s3.mangoplate.com/18915/558856_1621165786962_433874?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,고기 요리,제주 제주시내 ,"334,952",141
92,올래국수                                    (본점),"https://mp-seoul-image-production-s3.mangoplate.com/15199/384116_1456805642323_996?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 제주시내 ,"175,194",241
93,신산리마을카페,"https://mp-seoul-image-production-s3.mangoplate.com/1508867_1618540936642186.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 성산/우도 ,"140,599",76
94,춘심이네                                    (본점),"https://mp-seoul-image-production-s3.mangoplate.com/736760_1582441093282101.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 모슬포/화순 ,"184,659",92
95,국수만찬,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/460278_1465163150840758.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,국수 / 면 요리,제주 제주시내 ,"192,979",97
96,블랑로쉐,"https://mp-seoul-image-production-s3.mangoplate.com/220955/27066_1485015243054_30411?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,카페 / 디저트,제주 성산/우도 ,"45,274",70
97,오는정김밥,"https://mp-seoul-image-production-s3.mangoplate.com/14998/mgo_kvotx2puli.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,기타 한식,제주 서귀포시내 ,"109,425",136
98,뽈살집                                    (본점),"https://mp-seoul-image-production-s3.mangoplate.com/333417_1629378581577537.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,(본점),제주 서귀포시내 ,"90,073",58
99,더파크뷰,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1452169538287.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.1,뷔페,제주 중문단지 ,"33,320",32
